text,sentiment
put camera smoker pit longer vandalize door without caught,1
laying alone since mook soo comfy f n play pen thought ill first one cuddle,0
hate dentist,0
nothing aimed joining sorry,0
taking twitter break cell dying,0
qood morninq,1
writing english original writing storyyyyy listening little respect erasure aaaaaah,1
need follower,1
wish could get nail done stupid job,0
little wormy labyrinth sadly passed away today ok he still around happy ghost form aww,1
pant idea could new attempt world wide attract business back airline,1
good one,2
yep infact popular miss india talented film actress lot,2
dosen want go work tomorrow,0
daniel dsds voice great,2
wish birthday massacre would come australia think said thinking tho,1
hoping go red lobster weekend,1
xatl u mean jack barakat wow u ever gone house hehe mean ur ssoo lucky address,2
sure hope becomes afternoon,2
mean famous congrats,2
phone passed away yesterday jumped table searching new phone,0
fantastic friend including several one met thanks life amazing people,2
tamlyn wish cool sock draw,2
rice crusty bread chili aawww,1
like mind evening dear,1
come save packing please,1
yes love tea make typically english,2
mouth sure,2
finally hour history pm went highschool make homework friend,1
pancake lemon sugar thanks,2
si bueno guess entertain,0
hunrgy right heel kill hardly walk,0
electronic key stopped working keyhole cant get car much technology,0
yay three follower good know one person big wide world like fishies,2
name tony hey poor tony,0
goodmorning,2
took shift tomorrow really feel like working right,0
love mine happy motherã â â½s day mom john taylor much love,2
saw black snake garden went back picture gone,1
bought ludi rug dog best,2
waterfront anymore faccia luna clarendon,0
love mum much happy mother day wonderful mother,2
slipped caught flu feeling like poop,0
urge play wow wait week til im dad til mcfly im excited l,2
ok passenger one alive dead know til end cry,0
discovered sharing g reader even know sigh g reader newb,1
chilled tonite spew venom write funny seems like style,1
u please pray lord know need,1
aaaaaw want live usa,1
morning tweeple,2
hey get,1
hour sleep rest need,2
make day much better rough one mention love new photo,1
want sit home prom night someone hang,0
heading home foot surgery wishing boyfriend come cuddle,2
concert tonight chackin coming tomorrow,1
happened thought coming back today,1
lol dammit well next time,0
lol ever forget,2
still jealous,0
forever ethan,0
im sad im giving first didnt nothing,0
week mine easy finally,0
wow beautiful picture way straight wanted let know bella,2
arch drawing checking mvcc cad degree look good,2
people pencil sharp sharpened pencil philosophy,1
go home usually mr positive one daze well min tomorrow,1
always lee let go paris,1
know want come keep company whilst mum friend night nice evening,2
cooking dad lot fun kitchen together,2
bouncing rush make feel nauseous,0
woolsery morning hopefully see north molton clinch north devon league title lovely day,2
playing singstar without fave duetter,0
missing bb cereal nut think like every kind available,2
weird oh drawing,0
woke mum singing new gn r cd replacement bought im good daughter,2
bird oh man cool sleep yet night,0
mile go thats ok radio alwas help,2
street fighter iv skill lacking beat seth easy,0
fil cool people like,2
good morning work espn sunday night baseball hopefully get rained,2
think honeymoon good life either honey moon joseph arthur,1
son got stung bug first time little finger slightly swollen,0
hour ago came realised went buy something online,1
oh referring lil exchange lj regard twitter archive posting,1
bumping dj opus drunk car lmao act like u know,0
kiss foot people kick anything want morning everyone hope best day ever,2
brief preview omg james creepy role scared,0
missing crab leg attending going away instead,0
hick mean,0
gettn ready take trip jersey dad good need new heart whoeva see please say prayer dad,0
back soon need run shop cut grass,1
plan transform bedroom today random,1
home tomorrow running spinning time chiropractor laundry shopping visiting family missing nathan,0
thats another sponsor,1
u going stuck office without window,0
sad make proud,0
sorry try keep,0
home alone hw,1
according quarter family six live poverty,0
plan spend money going well,0
uploading bamboozle picture facebook,1
congratulation guy finish month early booo,2
actually wish back tahoe miss,0
woke wan na stay bed,1
bday june wack ihavent seen promotion bday party someone better finagle asap,0
would great vip act enjoy seeing noooo,1
marie wish could make hate commute sometimes,1
workin long day today hopefully make good tip,2
went quick chance lol,0
hate headache maybe ready rock,0
thanks support,2
really android twitter app tweetie calibre,1
good day driving mountain visiting katie eating chip fudge stocking lovely smelling soap,2
nyappy mother day mom,2
yeah im gon na take ur picture ipod baby,1
traumatizing moment childhood dog massacred baby bunny brother got bb gun,0
lol wish way microsize everything lol,1
organization itil forget people fail preaching converted people,0
libertine um glad enjoyed,2
dinner evening playing card already packed ready head home tomorrow go home,1
im allergic cat tonsil get swollen hurt dooo,0
say feel mama tucking night lonely getting tomorrow tough,0
miss alot one day,0
sound like great night glad successful,2
thanks sharing,2
say mlia instead fml hope find soon,2
garden going well almost corn pea onion beet yet though,2
nah jkin hot bored,1
ahhh sqeaky clean fresh even though wearing dirty clothes love two half men amazing,2
yes read many time,1
cuz play grown twitter,1
living ignorance,0
nope telling want cameo cream,1
awwww gon na miss,0
quite like worthing relaxing place nice coffee shop fresh air many oiks,2
terrible haha new fact cost part kind spock,1
today lovely day fun evening,2
beto pizzeria banksville rd believe beachview area sorry answer like year later,0
sigh sister bein strange came way copenhagen london phone turned wan na see dammit,0
amazing,2
barb trying figure dsl aint connecting need google going home computer start working soon smh,1
sick sad missing martini lounge tonight,0
seems really quiet tonight jealous clearly exciting life bed think,1
really wish spare cash buy new punch wii,0
aw going toronto anymore,0
sorry hear mom really suck,0
feel hope smooth flight safe mucho amor boston,2
sleep watching hgtv afraid infomercial take,0
getting family ready kaylee graduation gon na make sad,0
sweet dream,2
hay wats ur aim chat,1
okay kool might touring summer long make happen,1
pain big toe got stomped hokey cokeu throbbing anyone suggestion heal,0
time watch op dead like sleep,1
dinner grandma since mum,1
haha thanks history invention television influence america lol,2
yea wassup,1
stupid job idk,0
shopped til dropped come bac sunshine miss u,0
like pic lucky girl,2
thank anxiety issue year think make first couple day fine,1
around hour left day weekend waaaay much work,1
feeling loved mom got nikon cool pix birthday,2
attempt somehow extend inner class would close closure find ref atm,1
yes join u require cupcake donation,1
hard time talking new people pretty sure make good impression,0
haha yup still terrible headache super swollen puffy eye dont think im going today ugh,0
access site,1
sun shinning last,2
slowest train ever stop everywhere missed quick train minute,0
nup cd either whole bunch zero one free,1
graduation day feel like failure,1
ops lol wasnt supposed got twitter,1
think ever tierd life ugh goodnight sleeping tomorrow,0
u going today girl,1
doesnt want anymore,0
bad hair day,0
headache,0
sorry guy sign sorry,0
okay okay like rest sane population world hate monday,1
mozart requiem,1
think bit love creation wit physically attracted although great style,1
amichael hey thanks another great day going sleep chat tomorrow sweet dream,2
bet cool sr huh stopped sweating since noon dad packing,0
ohshnapsss pissed blair usual hahah yeeeah bake cooky,1
bueno hollykins need feel better asap p miss done uni soon soproudofyou,1
cool mother awesome hair style wish happy mother day,2
happy mother day mother,2
expression watching,1
stupid bipolar weather ruined day,0
want tell think body odour,0
nice beta easports still news online madden,1
thats pretty bad quality probably worst pic u posted till date,0
missed call,0
unfortunately u look like funny people twitter move fb start flitter,0
came back karaoke eating dinner emily sooooo much fun,2
discrimination bad thing learned say child would say mastered year ago,2
sure talk fabulous part though sorry dear,1
see sec clip new moon trailer etonline com check big tease though,0
got back working feeling pretty good work,2
ahhh satz blend save,1
matter bet would great love right go,2
dh finished making giant trio candy bar thank heaven work mate treat tomorrow,2
ear popping,1
working diffusing irritation traffic sure helping mother f always real bad day th help plan stuff,0
submitted resume day saw answer back oh well,0
catching week lost grey house quiet,1
love ryans housewife make smile,2
sooo kinda sick n tired b guy dish,0
boo hoping fake alien story tinfoil covered beachball photo,0
hey phillll wazzuppppp,1
missed westcott micro apollo,0
great buy lunch get pay cut next month,2
finally gone beach yeaaaah,2
ranjan ever mention nice awesome dude,2
last weekday nothing school start next week,1
hello gorgeous girl nice new pic today,2
ok duet hysterical lol,2
ok turn twitter device update get new battery phone go fully charged dead hour,1
michelle hot mama chichi grande,1
either way always tend make followfriday list sweetie rock much,2
one know like boiled peanut,1
watched episode loved throwback first episode using sprinkler theory,2
sleepy feeling weather ugh tonsil need company somebody talk,0
please get cell phone better camera picture real bad quality compared miley took,1
ichigo tried carry aswell bless suppose maybe kid,2
booziest weekend long time good fun though,2
counting hour lost sunshine weekend,0
planning trying call doctor though going well mostly planning,0
hoooray hooked already,1
ok good day,2
agree everybody would excited go ohhhh nooooo m screw,1
edge left contributor list month issue x ffs werd,1
ooo growl yummy time coming soon huh oh yeah hunting combo tshirt think find one,1
im back z index problem,0
anyone bored work,0
hating life moment many no delicate little mind take,0
check started new tee limited edition different way check facebook group,1
husband girl,1
thinking vega good idea place see,1
first day summer suck overcast cold summer,0
hi one kiwi artist another kiwi artist,1
say happy mother day mom,2
oooo ok havent accepted friend request,1
sorry tweet bgt poor wonderful crazy weird greg fair silly little girl never going cope urgh fair,0
michele thanks following love good cause,2
available area would,0
friday hour free tomorrow oh well,1
meeting time iã â â½m trying win something prize friday,1
waiting cramp,0
philosophy final today thank day,2
plan go followed ok,1
let guess skipped sport bought new pinkish outfit,1
rain please come,1
pleasure,1
presentation senior board fml,0
lol know funny ahaha,2
wide awake grouchy,0
thought thing get worse get even worse tonight bet life misery,0
app,1
lol hi emmy latin would help study aptitude test get grad school thats wan na take,2
supper tonight kurumi minute,1
kap think cute every night okay,2
happy skool let today last day yippee r p jackson tyler morris always loved never forgotten,2
hi mariah,1
home cat right,1
wheres music mannnn inbox still empty,0
atm oh yeah apple juice rebel,0
sorry still sick u know know u guess pelzer present,0
nice one,2
exam today going get license renewed birthday getting closer,1
got ta get creative mother day gift gon na win love,2
think gon na rain,1
aah well friend wondering great weather good,2
yrbook signing w evryone fun gna miss evrything,1
lost artistic ability,0
close enough could run get one,1
stone cold crazy,0
totally austin power withdrawl symptons darrius withdrawl symptom mommy minne withdrawl syamptoms,1
xo pretty took like hour ursssss,2
senior last day,1
crisis forgot fringe comb men one help,0
already got ticket thanks making sure though,2
thanks new follower,2
getting closer rather real lobby date chicago squee,1
lost vocie adele laughing lol still wondering college week,1
killboy oh sorry getting reply nothing yes know nirvana,0
busy working new kit couple interview done yea weekend pray uncle still young massive stroke,2
get bitten rabies infested person last night yay gon na scare rachel quarantine tonight shall fun,1
nooo roo cry omg wanted slap singing fine nowhere boohooooooooooo,0
watching simpson,1
good morning court crossfit bible study someone special house,2
great time london,2
work soon way soon,1
phaket anneliese want,1
emergency room cousin got mad flu walk breathe hospital always cold,0
thanks greeting,2
hungry wife bodyshop party bringing takeaway home much longer party go,1
pretty baby,2
invite house instead,1
bit ben thai ed,1
stackeoverflow,1
jungle book sooooo cute nothing eat drink,2
dead stopped express lane would happen choose take way ugh hopefully get moving,1
okeefe yay twitter secret celeb crush much info,1
ah ok thank youuuuuu,2
twitter fail life sometimes oh well,0
phone call yet minute pluck courage wish phone would ring,2
point gear question posted cant get rest dreadweave set,1
remind much omaha girl use date guess jean calvin klein wore,1
sherrieshepherd gave link give twitter tip hope help,2
loved mini,2
yeah okay icing ace bandage sitting twitter lol thanks,2
gorgeous,2
guess relaxing dinner movie tonight looking forward day work,2
laptop grew speaker watch charlie sound,1
rofl uh huh,2
funny,2
well look fab even say,0
deadline,1
terrible headache need relief,0
two month ago became irrelevant,0
finally sunny day sick go outside play,0
good luck exciting,2
working vacation thailand getting excited every day,2
home till like next month,1
finally chance show genuine love dependent selfish love hope heart go sorry ur pain,2
game bad leaving hi,0
screwed sat u,0
got im another co worker got laid lot people becoming unemployed,0
exact one thinking bestttt,2
easties go anytime,1
googledocs folder instead label like gmail kind like label,2
lem guess ran mile gym waking kid going beach recording studio,1
never knew dentention hard get,0
pacquiao fight fun home wif fam melissa sat today mission ikea srsly different freeway ge burbank,2
nail broke haaaaaaaaate,0
dang disappointing,0
yep,1
much longer nkotb block party love need go bed wondering time lol thanks,2
thanks mom seed larger already cracked planted hope avalina dud,0
anyone want buy anthropomorphic planter available till,1
beautiful day outside today shame stuck office blind shut stop glare,1
woke sun started rain,1
creative vado stock walmart com missed thanks tweeting,1
hate weather,0
cultural tour loiusa family kangaroo sight seeing cemetary lovely,2
flap taco nice pleb came,0
oh yippee lyn z way get celebrate mother day first time mother,2
chillaxin busy bankholiday hope everbody gd wkend holiday day,2
havin much better day today finished last twilight book yesterday class start next week get yall,2
new motorcycle popped cable already wow ride hard,2
check flyer designed notary retrograde let know think,1
thanks welcome back,2
want experience snow snow suck,0
sore head,0
office trying solve mystery whose blood bathroom toilet eewwwww,1
aw love car soooo cute tonight love carl old sad lol,1
bryan replied wingnuts,1
watching southpark another minute,1
thanks amy video awesome see tmh amazing bouncy bouncy bouncy,2
lmao ha simply wanted go ny,2
bored cant go habbo stupid ban,0
tried shoe new look,1
early wan na go back sleeep,1
think sister refusn get ticket next week,0
oh wow hope ok u take vet,1
died wait magic jack read,1
woken,1
hahaha oh man please come pomona would love see everyday instead like year,2
jon made one greatest dinner ever roast pork tenderloin bed wild rice bed mixed green yummy sauce wine,2
nooooo raining leave beach,0
shower class class taking care lady friend writing like tomorrow,2
rockstar photographer shoot went great tonight little different usual stuff nice,2
great pic try start selling race photo runner,2
goodmorning twitter oh gosh woke soooo nice lol oh hai thar twitterverse happy mothersday everybody especially mine,2
dulay swear took hour get bel air alabang yes loved reminiscing hk trip,2
hubby went pick fringe comic today store work store business comix houston web,1
world amazing,2
idea im completely lost,0
gadgetopia need dm following send email,1
awww he cute wish could gone,2
got cable set win got lock put door win feeling tad neglected fail,1
think may look little silly also camera broken photo,0
great talk grace awesome god work somehow started remote control work,2
day beasted,0
listening,1
oh u hit family emergency lil delay wait see,1
sitting home nothing gon na like weekend,1
oh nevermind think thing unsalvageable,0
flew brisbane lax today great flight love light shame one drink limit though,1
think go sleep considering hav b,1
told often wash hair would never speak,1
spent hour looking blog topic ended inventing grrrr,0
seems disappeared life,0
happy mother day mom every mom everywhere stroll beach later hopefully,2
ohhh wan na go gahhh dunnooooooo confuzzzledd,1
kittykat hello new follower haha ya,2
haha best thing office birthday hey,2
never knew could miss phone much hour till told back till,0
lay aww well randomly woke sleep many thing mind,0
done already one proof nothing fair world,0
going see long,1
better come time count else bam,2
prd take long time review,1
u know kid say well really,2
ugh wan na play dnd know going fail final need study,0
hi thx following teach chinese lesson youtube pls feel free look,2
sad saying fat tear,0
thank might take offer,1
trying find driver microsoft lifecam vx webcam find anywhere anyone link,0
finally get lay bit major headache,0
yes go see star trek sooooo much fun,2
mitchel idea much want call cost load call england,1
stupid accidentally gave honey atomic flavored buffalo wing stomach feel awful im sorry baby,0
relaxing thank hope get put foot tomorrow enjoy day,2
yessir right,2
night,1
writing music lit final paper mozart eine kleine nashtmusik mom giving hand actually great time,2
got crush issue tomorrow friend going india whole summer im back sad,0
warm,1
ada acara menarik lain key vip di channel v ttg straight yg dikasih task approach stranger crowd hmm,1
well hit see depends,1
aww thanx andy,2
goody bagged car boot including cute cross stitch bird craft room man selling sweetie,2
finished ironing clothes church gon na walk dog grab shower shave jottonia look good,2
shower time,1
coooooooool dooooooooown patience virtue,2
got ta drop car part buddy press dentist,1
cant call im work,1
going courthouse pay tag tax car gon na expensive,0
tired ready bed really mood salt pepper chicken wing noodle money chinese,0
usual two family party today happy birthday lily,2
finally yay seriously made day oh fellow hell ruler,1
goodnight magic pretty world,2
doesnt hangover getting ready good ol english fry,1
waiting put story stereo skyline know put boooo,1
working,1
starbucks farrah,1
ginniejean lot mojo place yes,1
third date went well moving fourth,1
mad tired hols miss chomp chomp terribly,0
finally starting assignment,1
good morning ready start week,2
read good thing bout feelin tonight proly finish tomorrow star trek,2
